indice,nombre_libro
0,The King in Yellow
1,The Odyssey
2,A Doll's House _ a play
3,"Golden Days for Boys and Girls, Vol. XII, Jan. 3, 1891"
4,The Republic
5,The Great Gatsby
6,Beowulf_ An Anglo-Saxon Epic Poem
7,The Expedition
8,Rip Van Winkle
9,A Tale of Two Cities
10,Little Women
11,A Room with a View
12,Frankenstein 1993
13,The Adventures of Sherlock Holmes
14,The Iliad
15,Hamlet
16,How to Observe_ Morals and Manners
17,"The Adventures of Tom Sawyer, Complete"
18,The Adventures of Roderick Random
19,My Life — Volume 1
20,Carmilla
21,The Scarlet Letter
22,Leviathan
23,Frankenstein 2012
24,"Spenser's The Faerie Queene, Book I"
25,The Importance of Being Earnest_ A Trivial Comedy for Serious People
26,Jane Eyre_ An Autobiography
27,"History of Tom Jones, a Foundling"
28,Simple Sabotage Field Manual by United States. Office of Strategic Services
29,The Enchanted April
30,Gulliver's Travels into Several Remote Nations of the World
31,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa"
32,The Blue Castle_ a novel
33,Ulysses
34,Dubliners
35,The Brothers Karamazov
36,pg2554
37,Twenty years after
38,Autobiography of Benjamin Franklin
39,White Nights and Other Stories
40,The Count of Monte Cristo
41,On Liberty
42,Childe Harold's Pilgrimage
43,Dracula
44,The Adventures of Ferdinand Count Fathom
45,Moby Dick
46,"The lesser Key of Solomon, Goetia, the book of evil spirits"
47,Adventures of Huckleberry Finn
48,The divine comedy
49,Heart of Darkness
50,Paradise Lost
51,The Works of Edgar Allan Poe — Volume 2
52,Alice’s Adventures in Wonderland
53,Candide
54,The Souls of Black Folk
55,Frankenstein 2013
56,Thus Spake Zarathustra_ A Book for All and None
57,The sunken world
58,War and Peace
59,Don Quixote
60,Everest
61,Pride and Prejudice
62,Meditations
63,"Walden, and On The Duty Of Civil Disobedience"
64,Bleak House
65,A Christmas Carol in Prose
66,The Strange Case Of Dr. Jekyll And Mr. Hyde
67,Cranford
68,Anna Karenina
69,The Tragical History of Doctor Faustus
70,Sense and Sensibility
71,Middlemarch
72,Twas the Night before Christmas_ A Visit from St. Nicholas
73,Anne of Green Gables
74,The Legend of Sleepy Hollow
75,Great Expectations
76,The Wonderful Wizard of Oz
77,"Narrative of the Life of Frederick Douglass, an American Slave"
78,The Prince
79,The Yellow Wallpaper
80,Peter Pan _ [Peter and Wendy]
81,Life of John Brown
82,Beyond Good and Evil
83,Wuthering Heights
84,Metamorphosis
85,Moby Multiple Language Lists of Common Words
86,Crime and Punishment
87,The Picture of Dorian Gray
88,Grimms' Fairy Tales
89,Treasure Island
90,Common Sense
91,Les Misérables
92,A Modest Proposal
93,Second Treatise of Government
94,Doctrina Christiana
95,The Hound of the Baskervilles
96,The Confessions of St. Augustine
97,Romeo and Juliet
98,The Ethics of Aristotle
99,"Poems on various subjects, religious and moral"
